기준년월,지역,방문자수,전년동월방문자수,방문자수증감률
202507,대전,7589477.0,6724263.0,12.9
202508,대전,7848246.0,6901016.0,13.7
202509,대전,7691190.0,7443037.0,3.3
202510,대전,8235178.0,7162844.0,15.0
202511,대전,7559122.0,6487950.0,16.5
202512,대전,7623630.0,7097769.0,7.4
202301,부산,13161680.0,8749570.0,50.4
202302,부산,11221777.0,10115679.0,10.9
202303,부산,13128549.0,11716691.0,12.0
202304,부산,11330249.0,9099500.0,24.5
202305,부산,12296326.0,10615448.0,15.8
202306,부산,11523799.0,9893394.0,16.5
202307,부산,12601932.0,10355972.0,21.7
202308,부산,13071261.0,9714856.0,34.6
202309,부산,13391634.0,11099624.0,20.6
202310,부산,12300270.0,10952280.0,12.3
202311,부산,11317982.0,10487578.0,7.9
202312,부산,12699096.0,10860272.0,16.9
202401,부산,12205134.0,11368994.0,7.4
202402,부산,13042704.0,9877186.0,32.0
202403,부산,13459148.0,11363376.0,18.4
202404,부산,10744188.0,10067470.0,6.7
202405,부산,12526098.0,11842218.0,5.8
202406,부산,11750655.0,11178738.0,5.1
202407,부산,12553352.0,12475754.0,0.6
202408,부산,13472851.0,12622116.0,6.7
202409,부산,13618364.0,12278746.0,10.9
202410,부산,12008294.0,12013600.0,-0.0
202411,부산,11932462.0,10901740.0,9.4
202412,부산,12926788.0,12020771.0,7.5
202501,부산,14167030.0,13161680.0,7.6
202502,부산,11753406.0,11221777.0,4.7
202503,부산,13907002.0,13128549.0,5.9
202504,부산,10887390.0,11330249.0,-3.9
202505,부산,14881668.0,12296326.0,21.0
202506,부산,12654750.0,11523799.0,9.8
202507,부산,13879274.0,12601932.0,10.1
202508,부산,14639538.0,13071261.0,12.0
202509,부산,12990422.0,13391634.0,-3.0
202510,부산,15551704.0,12300270.0,26.4
202511,부산,13006564.0,11317982.0,14.9
202512,부산,13564702.0,12699096.0,6.8
202301,서울,47059016.0,35471954.0,32.7
202302,서울,46917710.0,37521838.0,25.0
202303,서울,54703464.0,46699880.0,17.1
202304,서울,44422917.0,38039834.0,16.8
202305,서울,48890608.0,41247518.0,18.5
202306,서울,47057941.0,40567944.0,16.0
202307,서울,49356132.0,37207586.0,32.6
202308,서울,48280838.0,37433896.0,29.0
202309,서울,50867548.0,40996662.0,24.1
202310,서울,49880316.0,43545894.0,14.6
202311,서울,48357250.0,44705472.0,8.2
202312,서울,51472754.0,42443996.0,21.3
202401,서울,49815776.0,42687078.0,16.7
202402,서울,46996436.0,36369476.0,29.2
202403,서울,58118126.0,45396211.0,28.0
202404,서울,44897276.0,47372241.0,-5.2
202405,서울,49137014.0,48937928.0,0.4
202406,서울,47087534.0,45081498.0,4.4
202407,서울,49290160.0,48614730.0,1.4
202408,서울,48888014.0,46582602.0,5.0
202409,서울,49670618.0,49772345.0,-0.2
202410,서울,52413634.0,50165734.0,4.5
202411,서울,48073140.0,47061364.0,2.2
202412,서울,51393122.0,48089780.0,6.9
202501,서울,48995110.0,47059016.0,4.1
202502,서울,48232079.0,46917710.0,2.8
202503,서울,57586168.0,54703464.0,5.3
202504,서울,46523312.0,44422917.0,4.7
202505,서울,58571541.0,48890608.0,19.8
202506,서울,51055210.0,47057941.0,8.5
202507,서울,54141650.0,49356132.0,9.7
202508,서울,51745726.0,48280838.0,7.2
202509,서울,54009456.0,50867548.0,6.2
202510,서울,52697897.0,49880316.0,5.6
202511,서울,54363256.0,48357250.0,12.4
202512,서울,55364449.0,51472754.0,7.6
202301,세종,2244179.0,1784976.0,25.7
202302,세종,2081051.0,1882944.0,10.5
202303,세종,2690496.0,2353246.0,14.3
202304,세종,2173804.0,2017064.0,7.8
202305,세종,2314770.0,2173392.0,6.5
202306,세종,2207464.0,2053776.0,7.5
202307,세종,2183846.0,2191490.0,-0.4
202308,세종,2293084.0,2142896.0,7.0
202309,세종,2455240.0,2280054.0,7.7
202310,세종,2419014.0,2259453.0,7.1
202311,세종,2105145.0,2057976.0,2.3
202312,세종,2236952.0,2193205.0,2.0
202401,세종,2178946.0,2160725.0,0.8
202402,세종,2266372.0,1850639.0,22.5
202403,세종,2718562.0,2364327.0,15.0
202404,세종,2256180.0,2166304.0,4.2
202405,세종,2356252.0,2409536.0,-2.2
202406,세종,2204114.0,2138423.0,3.1
202407,세종,2270026.0,2296676.0,-1.2
